items/title,items/id,items/resultType,items/address/label,items/address/countryCode,items/address/countryName,items/address/stateCode,items/address/state,items/address/county,items/address/city,items/address/street,items/address/postalCode,items/position/lat,items/position/lng,items/access/0/lat,items/access/0/lng,items/distance,items/categories/0/id,items/categories/0/name,items/categories/0/primary,items/contacts/0/phone/0/value,items/contacts/0/www/0/value,items/address/houseNumber,items/address/district
Covid-19 Testing Site: Hackensack Meridian Urgent Care - Jackson,here:pds:place:840dr5hj-72cb2590c05e4f30870816ed2dd480ea,place,"Covid-19 Testing Site: Hackensack Meridian Urgent Care - Jackson, S Cooks Bridge Rd, Jackson, NJ 08527, United States",USA,United States,NJ,New Jersey,Ocean,Jackson,S Cooks Bridge Rd,8527,40.1207,-74.28952,40.1207,-74.28966,12076,800-8000-0400,Covid-19 Testing Site,TRUE,17323704222,https://www.nj.gov/health,,
COVID-19 Testing Site: MedExpress Howell,here:pds:place:840dr5hq-2bde93adadf0440b87ebad106c0b7106,place,"COVID-19 Testing Site: MedExpress Howell, 4074 US Highway 9, Howell, NJ 07731-3315, United States",USA,United States,NJ,New Jersey,Monmouth,Howell,US Highway 9,07731-3315,40.15256,-74.2291,40.1535,-74.22869,18315,800-8000-0400,Covid-19 Testing Site,TRUE,17328867342,https://covid19.nj.gov/index.html,4074,
Covid-19 Testing Site: Ocean County College,here:pds:place:840dr578-a0a3d7b97de548888d642ff89fe13478,place,"Covid-19 Testing Site: Ocean County College, Toms River, NJ 08753, United States",USA,United States,NJ,New Jersey,Ocean,Toms River,,8753,40.00803,-74.16623,40.00803,-74.16623,21141,800-8000-0400,Covid-19 Testing Site,TRUE,18003429838,https://covid19.nj.gov/index.html,,
Covid-19 Testing Site: Immcare Facility,here:pds:place:840dr57b-8dab5c8f210548c0bebd7ea02d668249,place,"Covid-19 Testing Site: Immcare Facility, 8 Brick Plz, Brick, NJ 08723, United States",USA,United States,NJ,New Jersey,Ocean,Brick,Brick Plz,8723,40.05976,-74.14184,40.05982,-74.14172,22457,800-8000-0400,Covid-19 Testing Site,TRUE,18559255467,https://covid19.nj.gov/index.html,8,
Covid-19 Testing Site: Rite Aid,here:pds:place:840dr4uv-833cb91e2f5e4552882c4d9a0d9a80f1,place,"Covid-19 Testing Site: Rite Aid, 2370 RT-33, Robbinsville, NJ 08691, United States",USA,United States,NJ,New Jersey,Mercer,Robbinsville,RT-33,8691,40.21875,-74.62248,40.21739,-74.62426,25649,800-8000-0400,Covid-19 Testing Site,TRUE,16092591251,https://www.nj.gov/health,2370,
Covid-19 Testing Site: Immediate Care,here:pds:place:840dr5jq-b5cb15d237c747a281e9a3001fa25697,place,"Covid-19 Testing Site: Immediate Care, Marlboro, NJ 07746, United States",USA,United States,NJ,New Jersey,Monmouth,Marlboro,,7746,40.33375,-74.24208,40.33375,-74.24208,33634,800-8000-0400,Covid-19 Testing Site,TRUE,18559255467,https://www.nj.gov/health,,
Covid-19 Testing Site: Quest Diagnostics - Howell,here:pds:place:840dr5hq-ae08c8518e434ba7bebb7099df4a678a,place,"Covid-19 Testing Site: Quest Diagnostics - Howell, 4530 US Highway 9, Howell, NJ 07731-3771, United States",USA,United States,NJ,New Jersey,Monmouth,Howell,US Highway 9,07731-3771,40.14269,-74.22684,40.14268,-74.22679,17874,800-8000-0400,Covid-19 Testing Site,TRUE,18666978378,https://covid19.nj.gov,4530,
Covid-19 Testing Site: Princeton Health,here:pds:place:840dr4vm-c76561cab1064695b724fa4f80a3b341,place,"Covid-19 Testing Site: Princeton Health, 1 Plainsboro Rd, Plainsboro, NJ 08536, United States",USA,United States,NJ,New Jersey,Middlesex,Plainsboro,Plainsboro Rd,8536,40.33969,-74.62722,40.33956,-74.62728,36510,800-8000-0400,Covid-19 Testing Site,TRUE,18339831350,https://covid19.nj.gov/index.html,1,
Covid-19 Testing Site: Rite Aid,here:pds:place:840dr5kg-d1a0ec17c87e4849b0164237db784148,place,"Covid-19 Testing Site: Rite Aid, 75 S Main St, Neptune City, NJ 07753, United States",USA,United States,NJ,New Jersey,Monmouth,Neptune City,S Main St,7753,40.21219,-74.01481,40.21217,-74.01473,37377,800-8000-0400,Covid-19 Testing Site,TRUE,17327759083,https://www.nj.gov/health,75,
Covid-19 Testing Site: Genesis Diagnostics,here:pds:place:840dr4u8-d2848634ebae42468e8dd7493fede4ca,place,"Covid-19 Testing Site: Genesis Diagnostics, 900 Town Center Dr, Langhorne, PA 19047-1755, United States",USA,United States,PA,Pennsylvania,Bucks,Langhorne,Town Center Dr,19047-1755,40.18867,-74.87824,40.18847,-74.8781,42713,800-8000-0400,Covid-19 Testing Site,TRUE,12672122000,https://www.health.pa.gov/Pages/default.aspx,900,
Covid-19 Testing Site: Rite Aid,here:pds:place:840dr4ez-f37b06f41b4e4b62b8c10d7eb5aa8631,place,"Covid-19 Testing Site: Rite Aid, 1147 Cooper St, Beverly, NJ 08010-2558, United States",USA,United States,NJ,New Jersey,Burlington,Beverly,Cooper St,08010-2558,40.05189,-74.90877,40.05217,-74.9082,42823,800-8000-0400,Covid-19 Testing Site,TRUE,16098770013,https://www.nj.gov/health,1147,
